url,section,title,static_html,body_text_chars
https://www.sjsu.edu/getinvolved/campus-events/index.php,student-involvement,Campus Events | Student Involvement,yes,1177
https://www.sjsu.edu/getinvolved/fraternity-and-sorority-life/index.php,student-involvement,Fraternity and Sorority Life | Student Involvement,yes,1279
https://www.sjsu.edu/getinvolved/index.php,student-involvement,Student Involvement,yes,1758
https://www.sjsu.edu/getinvolved/leadership/index.php,student-involvement,Leadership Development | Student Involvement,yes,679
https://www.sjsu.edu/getinvolved/student-orgs/index.php,student-involvement,Recognized Student Orgs | Student Involvement,yes,11346
https://www.sjsu.edu/cgs/current-students/graduate-advisors.php,graduate-studies,Graduate Program Coordinator | College of Graduate Studies,yes,400
https://www.sjsu.edu/cgs/current-students/index.php,graduate-studies,Current Students | College of Graduate Studies,yes,1347
https://www.sjsu.edu/cgs/financial-support/index.php,graduate-studies,Funding | College of Graduate Studies,yes,4267
https://www.sjsu.edu/cgs/index.php,graduate-studies,College of Graduate Studies,yes,3044
https://www.sjsu.edu/bit/,campus-safety,Behavioral Intervention,yes,1802
https://www.sjsu.edu/police/,campus-safety,Police Department | University Police,yes,2702
https://www.sjsu.edu/safety/,campus-safety,Campus Safety | Safety,yes,4163
https://www.sjsu.edu/titleixeo/,title-ix,Office for Civil Rights and Title IX,yes,4503
https://www.sjsu.edu/capise/,identity-belonging,Center for Asian Pacific Islander Student Empowerment,yes,1064
https://www.sjsu.edu/diversity/,identity-belonging,Diversity,yes,3422
https://www.sjsu.edu/genec/,identity-belonging,Gender Equity Center,yes,1019
https://www.sjsu.edu/thebloc/,identity-belonging,Black Leadership and Opportunity Center,yes,1986
https://www.sjsu.edu/undocuspartan/,identity-belonging,UndocuSpartan Student Resource Center,yes,1813
https://www.sjsu.edu/housing-options/,housing,Housing,yes,1332
https://www.sjsu.edu/ihouse/,housing,The Phyllis Simpkins International House | Phyllis Simpkins International House,yes,1264
https://www.sjsu.edu/aspire/,research,TRIO (SSS/ASPIRE) Program | ASPIRE Program,yes,963
https://www.sjsu.edu/mcnair/,research,TRIO McNair Scholars Program | McNair Scholars Program,yes,1124
https://www.sjsu.edu/research/,research,Office of Research,yes,4335
https://www.sjsu.edu/studyabroad/,study-abroad,San Jose State University - Study Abroad & Away,yes,1487
https://www.sjsu.edu/supportedinstruction/,tutoring-academic-support,The Office of Supported Instruction | Supported Instruction,yes,1051
https://www.sjsu.edu/ha-advising/,academic-advising,Humanities and the Arts Student Success Center,yes,2519
https://www.sjsu.edu/wellbeing/,counseling-psych,Well-being @ SJSU,yes,2102
https://www.sjsu.edu/as/departments/child-development-center/index.php,campus-services,Child Development Center | Associated Students,yes,3494
https://www.sjsu.edu/as/departments/print-shop/index.php,campus-services,Print Shop | Associated Students,yes,1902
https://www.sjsu.edu/as/departments/transportation-solutions/index.php,campus-services,Transportation Solutions | Associated Students,yes,3250
https://www.sjsu.edu/it/,campus-services,Information Technology,yes,1316
https://www.sjsu.edu/parking/,campus-services,Parking Services,yes,5593
https://www.sjsu.edu/as/,student-involvement,Associated Students,yes,1795
https://www.sjsu.edu/enrollmentmanagement/services/contacting-departments/index.php,student-affairs-hub,Contacting Departments | Enrollment Management,yes,3582
